,論文の発行年,論文が発行された媒体,媒体の巻号,論文タイトル,著者,媒体のページ数
33,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9029 戦前の外観透視図における建築と自然の関係 : 建築家の透視図表現に関する研究(意匠論:イメージ(1),建築歴史・意匠)",種田 元晴 / 安藤 直見,57-58
34,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9030 建築写真に見られる調度品 1 : 現代日本住宅作品の空間表現に関する研究(意匠論:イメージ(2),建築歴史・意匠)",山下 尚哉 / 田村 聡 / 山田 深,59-60
35,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9031 建築写真に見られる調度品 2 : 現代日本住宅作品の空間表現に関する研究(意匠論:イメージ(2),建築歴史・意匠)",田村 聡 / 山田 深,61-62
36,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9032 建築内観写真からみる外部への眺めの構図(意匠論:イメージ(2),建築歴史・意匠)",寺嶋 利治 / 久野 紀光,63-64
37,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9033 建築意匠設計における建築雑誌の役割に関する研究 : 建築作品写真の特質が記者に与える影響の分析(意匠論:イメージ(2),建築歴史・意匠)",朝日 大和 / 坂牛 卓,65-66
38,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9034 建築プレゼンテーションの変遷と進歩に関する研究 : 1980年～2009年『新建築』に掲載されたアイデアコンペを通して(意匠論:イメージ(2),建築歴史・意匠)",二階堂 将 / 入江 徹,67-68
39,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9035 ガラスを主要表現とした建築の設計論における建築家の素材認識(意匠論:イメージ(3),建築歴史・意匠)",奥山 信一 / 岩崎 桃子 / 塩崎 太伸 / 四ヶ所 高志,69-70
40,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9036 建築家の設計論における光に関する認識 : 現代日本の建築家の光を主題とした設計論に関する研究 1(意匠論:イメージ(3),建築歴史・意匠)",渡邉 啓太 / 大嶽 陽徳 / 塩崎 太伸 / 奥山 信一,71-72
41,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9037 建築家の光に関する思考モデルと実現化手法 : 現代日本の建築家の光を主題とした設計論に関する研究 2(意匠論:イメージ(3),建築歴史・意匠)",渡邉 啓太 / 大嶽 陽徳 / 塩崎 太伸 / 奥山 信一,73-74
42,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9038 現代日本の建築家の言説にみられる透明性という言葉に投影された建築的思考(意匠論:イメージ(3),建築歴史・意匠)",小滝 健司 / 塩崎 太伸 / 大嶽 陽徳 / 奥山 信一,75-76
43,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9039 衣服と建築の創作に関する言説の比較(意匠論:イメージ(3),建築歴史・意匠)",柿林 政孝 / 那須 聖,77-78
44,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9040 周辺環境を考慮した設計手法に関する研究 : 建築雑誌『新建築』において(意匠論:イメージ(4),建築歴史・意匠)",長田 純一 / 坂牛 卓,79-80
45,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9041 沖縄の建築物における意匠と構造の関りについて : 1972年本土復帰以降の『新建築』を対象として(意匠論:イメージ(4),建築歴史・意匠)",今村 博樹 / 入江 徹,81-82
46,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9042 現代沖縄建築意匠の評価に関する研究(意匠論:イメージ(4),建築歴史・意匠)",金城 春野 / 入江 徹,83-84
47,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9043 建築家の言説にみられる空間と利用者との関わり(意匠論:イメージ(4),建築歴史・意匠)",佐藤 菜生 / 那須 聖,85-86
48,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9044 公共建築の設計論における住民参加に関する建築家の認識 : 建築家の設計論における建築の社会性に関する研究 3(意匠論:イメージ(4),建築歴史・意匠)",山本 祥太 / 四ヶ所 高志 / 塩崎 太伸 / 奥山 信一,87-88
49,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9045 公共建築の住民参加に関する建築家の認識と社会的状況 : 建築家の設計論における建築の社会性に関する研究 4(意匠論:イメージ(4),建築歴史・意匠)",山本 祥太 / 四ヶ所 高志 / 塩崎 太伸 / 奥山 信一,89-90
50,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9046 大空間建築の覆いに対する建築家のアナロジー表現(意匠論:イメージ(5),建築歴史・意匠)",奥山 信一 / 中村 義人 / 塩崎 太伸 / 大嶽 陽徳,91-92
51,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9047 囲まれた外部空間をもつ商業建築作品の設計論における都市イメージ(意匠論:イメージ(5),建築歴史・意匠)",金 優希 / 稲用 隆一 / 塩崎 太伸 / 奥山 信一,93-94
52,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9048 街歩きガイドブックの散策ルートマップにみる東京のイメージ構造(意匠論:イメージ(5),建築歴史・意匠)",奥山 信一 / 金森 麻紀 / 塩崎 太伸 / 稲用 隆一,95-96
53,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9049 銀座商店街のウェブサイトにみられる言語表現 : 場所のイメージの価値形成に関する研究 1(意匠論:イメージ(5),建築歴史・意匠)",中山 雄一 / 稲用 隆一 / 塩崎 太伸 / 奥山 信一,97-98
54,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9050 ウェブサイトにみられる銀座商店街の価値構造 : 場所のイメージの価値形成に関する研究 2(意匠論:イメージ(5),建築歴史・意匠)",中山 雄一 / 稲用 隆一 / 塩崎 太伸 / 奥山 信一,99-100
55,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9051 斜行壁を有する戦後日本住宅の設計意図と平面形式(意匠論:イメージ(5),建築歴史・意匠)",尾辻 自然 / 小澤 丈夫,101-102
56,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9052 ゼロベース型都市プロジェクトの計画手法(意匠論:都市(1),建築歴史・意匠)",袁 碩 / 金野 千恵 / 塚本 由晴 / 佐々木 啓 / 能作 文徳 / /,103-104
57,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9053 エコシティプロジェクトにおける都市形態の役割(意匠論:都市(1),建築歴史・意匠)",側嶋 秀明 / 金野 千恵 / 塚本 由晴 / 佐々木 啓 / 能作 文徳 / /,105-106
58,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9054 幹線街路沿線の建物用途からみた界隈の理解 : 名古屋市の主要幹線街路 : 広小路通及び大津通を例として(意匠論:都市(1),建築歴史・意匠)",藤波 詩織 / 久野 紀光,107-108
59,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9055 水路路地と建築の関係により生じる生活環境 : 八潮市における街並みの構成形式に関する研究 3(意匠論:都市(1),建築歴史・意匠)",高橋 敦史 / 小川 次郎 / 高桑 広太郎 / 涌井 領 / 木梨 誠典,109-110
60,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9056 地場産業の生産体制と生産施設の種類 : 地場産業の変容からみたまちの空間構成 1(意匠論:都市(1),建築歴史・意匠)",亀井 聡 / 高橋 寛 / 塚本 由晴 / ホン ソッピョ / 金野 千恵 / 佐々木 啓 / 能作 文徳 / ファース ギョーム,111-112
61,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9057 地場産業の生産体制と生産施設の関係 : 地場産業の変容からみたまちの空間構成 2(意匠論:都市(1),建築歴史・意匠)",亀井 聡 / 高橋 寛 / 塚本 由晴 / ホン ソッピョ / 金野 千恵 / 佐々木 啓 / 能作 文徳 / ファース ギョーム,113-114
62,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9058 物流およびインフラストラクチャーにおける専門店街の位置づけと活動 : 東京の専門店街における都市空間の共同性 1(意匠論:都市(2),建築歴史・意匠)",山道 拓人 / 金野 千恵 / 塚本 由晴 / 佐々木 啓 / 能作 文徳 / ファース ギョーム / ホン ソッピョ,115-116
63,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9059 物流とインフラストラクチャーからみる専門店街の類型 : 東京の専門店街における都市空間の共同性 2(意匠論:都市(2),建築歴史・意匠)",山道 拓人 / 金野 千恵 / 塚本 由晴 / 佐々木 啓 / 能作 文徳 / ファース ギョーム / ホン ソッピョ,117-118
64,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9060 建築ファサードのプロポーションの変遷とスカイラインからみた街路空間の構成 : 銀座における建築ファサードによるスカイラインからみた街路空間の構成と変遷 1 : 1964年容積率導入と1998年銀座ルール適用と2010年の3年代を比較して(意匠論:都市(2),建築歴史・意匠)",大友 彰 / 寺内 美紀子 / 戸島 健,119-120
65,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9061 3年代の街路空間の構成と他都市の街路空間との比較 : 銀座における建築ファサードによるスカイラインからみた街路空間の構成と変遷 2 : 1964年容積率導入と1998年銀座ルール適用と2010年の3年代を比較して(意匠論:都市(2),建築歴史・意匠)",戸島 健 / 寺内 美紀子 / 大友 彰,121-122
66,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9062 街路立面と角地建物からみた街の賑わい : 自由が丘駅周辺の街並み研究 1(意匠論:都市(2),建築歴史・意匠)",佐藤 芙紀 / 安田 幸一 / 村田 涼 / 内藤 誠人,123-124
67,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9063 窓の形態からみた自由が丘の街並み : 自由が丘駅周辺の街並み研究 2(意匠論:都市(2),建築歴史・意匠)",ショウティウェットシン ジュタラット / 安田 幸一 / 村田 涼 / 内藤 誠人,125-126
68,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9064 札幌すすきの地区の建物・小路からみた変遷と空間構成について(意匠論:都市(3),建築歴史・意匠)",後藤 なつみ / 角 幸博 / 小澤 丈夫 / 石本 正明,127-128
69,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9065 高密度都市における周辺環境からみた神社境内の空間構成(意匠論:都市(3),建築歴史・意匠)",榧場 則子 / 寺内 美紀子,129-130
70,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9066 単位面からみた敷地パタンと建物配置 : 斜面を含む住宅団地の空間構成 1(意匠論:都市(3),建築歴史・意匠)",細谷 喬雄 / 安田 幸一 / 菅谷 祐輔 / 村田 涼 / 内藤 誠人,131-132
71,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9067 斜面を含む住宅団地における建物配列 : 斜面を含む住宅団地の空間構成 2(意匠論:都市(3),建築歴史・意匠)",菅谷 祐輔 / 安田 幸一 / 細谷 喬雄 / 村田 涼 / 内藤 誠人,133-134
72,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9068 傾斜地における戸建住宅のエントランスの構え方 : 名古屋市千種区覚王山地区を例として(意匠論:都市(3),建築歴史・意匠)",内田 幹 / 久野 紀光,135-136
73,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9069 狭小都市住宅と近接空間の関係 : 「新建築 住宅特集」掲載100作品の分析をとおして(意匠論:都市(3),建築歴史・意匠)",橋本 翔太郎 / 市原 出,137-138
74,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9070 ニーム大学・ヴォーバン・キャンパス : フランスにおける建築の再構築に関する研究 その3(意匠論:形態(1),建築歴史・意匠)",三田村 哲哉,139-140
75,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9071 ホイスコーレの施設活用にみる改修手法 : デンマーク・ホイスコーレの施設活用にみる共生空間デザイン 1(意匠論:形態(1),建築歴史・意匠)",牧 奈歩 / 貝島 桃代 / 土岐 文乃,141-142
76,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9072 ホイスコーレの改修手法と施設の利用からみる共生空間デザイン : デンマーク・ホイスコーレの施設活用にみる共生空間デザイン 2(意匠論:形態(1),建築歴史・意匠)",牧 奈歩 / 貝島 桃代 / 土岐 文乃,143-144
77,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9073 デンマークにおけるコンバージョン建築事例の調査研究 その1 : 産業系施設からの転用におけるデザイン手法(意匠論:形態(1),建築歴史・意匠)",佐藤 慎平 / 小林 克弘 / 三田村 哲哉 / 角野 渉 / 竹村 祐典 / 岡崎 真也 / 河野 泰造 / 小清水 一馬 / 関口 勝平 / 百瀬 雄介,145-146
78,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9074 デンマークにおけるコンバージョン建築事例の調査研究 その2 : 公共・文化・事務所・軍事系施設からの転用にみられる特徴(意匠論:形態(1),建築歴史・意匠)",百瀬 雄介 / 小林 克弘 / 三田村 哲哉 / 角野 渉 / 竹村 祐典 / 岡崎 真也 / 河野 泰造 / 小清水 一馬 / 関口 勝平 / 佐藤 慎平,147-148
79,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9075 スウェーデンにおけるコンバージョン建築事例の調査研究 その1 : ストックホルムにおける公共・産業系施設からの転用(意匠論:形態(2),建築歴史・意匠)",関口 勝平 / 小林 克弘 / 三田村 哲哉 / 角野 渉 / 竹村 祐典 / 岡崎 真也 / 河野 泰造 / 小清水 一馬 / 百瀬 雄介 / 佐藤 慎平,149-150
80,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9076 スウェーデンにおけるコンバージョン事例の調査研究 その2 : ヨーテボリ・マルメにおける居住・公共・産業系施設からの転用(意匠論:形態(2),建築歴史・意匠)",河野 泰造 / 小林 克弘 / 三田村 哲哉 / 角野 渉 / 竹村 祐典 / 岡崎 真也 / 小清水 一馬 / 関口 勝平 / 百瀬 雄介 / 佐藤 慎平,151-152
81,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9077 ウィーンにおけるコンバージョン建築事例の調査研究 : 大規模施設の転用におけるデザイン手法(意匠論:形態(2),建築歴史・意匠)",小清水 一馬 / 小林 克弘 / 三田村 哲哉 / 角野 渉 / 竹村 祐典 / 岡崎 真也 / 河野 泰造 / 関口 勝平 / 百瀬 雄介 / 佐藤 慎平,153-154
82,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9078 スイスにおけるコンバージョン建築事例の調査研究 : 近年の傾向及び代表的事例にみるデザイン手法(意匠論:形態(2),建築歴史・意匠)",岡崎 真也 / 小林 克弘 / 三田村 哲哉 / 角野 渉 / 竹村 祐典 / 河野 泰造 / 小清水 一馬 / 関口 勝平 / 百瀬 雄介 / 佐藤 慎平,155-156
83,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9079 上海におけるコンバージョン事例の調査研究 その1 : 商業系施設、居住系施設、公共系施設からの転用(意匠論:形態(3),建築歴史・意匠)",小林 克弘 / 三田村 哲哉 / 角野 渉 / 小川 仁,157-158
84,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9080 上海におけるコンバージョン事例の調査研究 その2 : 産業系施設からの転用におけるデザイン手法(意匠論:形態(3),建築歴史・意匠)",角野 渉 / 小林 克弘 / 三田村 哲哉 / 小川 仁,159-160
85,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9081 増改築における外形の変化と「空間としての価値」の関係 : 現代日本の住宅作品における増改築の手法 : 建築家の自邸を例に 1(意匠論:形態(3),建築歴史・意匠)",西村 萌 / / 塚本 由晴 / / 能作 文徳 / 佐々木 啓 / 金野 千恵,161-162
86,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9082 「空間としての価値」の組合せによる増改築の設計手法 : 現代日本の住宅作品における増改築の手法 : 建築家の自邸を例に 2(意匠論:形態(3),建築歴史・意匠)",西村 萌 / / 塚本 由晴 / / 能作 文徳 / 佐々木 啓 / 金野 千恵,163-164
87,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9083 現代日本の倉庫建築における空間構成からみた用途転用の手法(意匠論:形態(3),建築歴史・意匠)",守 直朗 / 寺内 美紀子,165-166
88,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9084 ヴァンブラの平面構成手法に関する考察 : カースル・ハワードとブレナム・パレス(作家論:作品論(1),建築歴史・意匠)",木下 央 / 小林 克弘,167-168
89,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9085 オットー・ヴァーグナーのドローイング作品における画面の構成原理に関する研究 1 : カールスプラッツ駅の構成分析(作家論:作品論(1),建築歴史・意匠)",稲葉 結実 / 迫田 正美,169-170
90,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9086 建築家アントニ・ガウディと建築家アリアス・ルジェンにおける建築論の相異に関する研究 : アントニ・ガウディ・イ・コルネット研究(作家論:作品論(1),建築歴史・意匠)",渡部 悠 / 入江 正之 / 山村 健,171-172
91,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9087 ル・コルビュジエの住宅平面にみられる回遊動線の分析(作家論:作品論(1),建築歴史・意匠)",吉里 光晴 / 隈 研吾 / 中村 航,173-174
92,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9088 チャンディーガル都市計画における居住地区の「適正規模」に関する考察 : ル・コルビュジエの都市計画理論とチャンディーガル都市計画法の分析を通して(作家論:作品論(1),建築歴史・意匠)",飯田 寿一 / 山名 善之 / 熊谷 亮平,175-176
93,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9089 Alvar Aaltoにおける「有機」の手法(作家論:作品論(2),建築歴史・意匠)",松岡 正明 / 赤坂 喜顕,177-178
94,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9090 アアルトの平面構成 : 住宅作品における形態的特徴(作家論:作品論(2),建築歴史・意匠)",東田 陽介 / 市原 出,179-180
95,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9091 ルイス・カーンの建築作品に見られる層空間構成(作家論:作品論(2),建築歴史・意匠)",井上 久嗣 / 市原 出,181-182
96,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9092 スミッソン夫妻の「未来の住宅」に関する研究(作家論:作品論(2),建築歴史・意匠)",國本 築永,183-184
97,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9093 アリソン・アンド・ピーター・スミッソンの増改築作品の空間構成 : アリソン・アンド・ピーター・スミッソンの建築作品に関する研究 3(作家論:作品論(2),建築歴史・意匠)",佐原 謙介 / 安森 亮雄 / 福田 充弘,185-186
98,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9094 アルネ・ヤコブセン「未来の家」の平面構成に関する考察(作家論:作品論(3),建築歴史・意匠)",和田 菜穂子,187-188
99,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9095 カステルヴェッキオ美術館におけるカルロ・スカルパの増改築設計手法に関する研究(作家論:作品論(3),建築歴史・意匠)",入江 曜,189-190
100,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9096 Carlo Scarpa研究2010 : ガラス器デザインに見る創作の発露(作家論:作品論(3),建築歴史・意匠)",田村 正 / 古谷 誠章,191-192
101,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9097 John Hejduk研究 : 自伝的作品集『Mask of Medusa』1947-83年における手法〈Mask〉とその設計意図 1(作家論:作品論(3),建築歴史・意匠)",中村 碧 / 及川 輝 / 古谷 誠章,193-194
102,2011,"学術講演梗概集. F-2, 建築歴史・意匠",2011,"9098 John Hejduk研究 : 自伝的作品集『Mask of Medusa』1947-83年における手法〈Mask〉とその設計意図 2(作家論:作品論(3),建築歴史・意匠)",及川 輝 / 中村 碧 / 古谷 誠章,195-196
